subject_id,raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_num_bad_slices,raw_num_directions,raw_coherence_index,raw_incoherence_index,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_num_bad_slices,t1_num_directions,t1_coherence_index,t1_incoherence_index,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,file_name,session_id,task_id,dir_id,acq_id,space_id,rec_id,run_id,participant_id
NDARVB811FVD,96.0,96.0,72.0,2.0,2.0,2.0,2000.0,0.792937,0.0,129.0,1011.01,11208.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.91615,0.0,129.0,4462.83,29738.5,0.6335074023,2.5739758463,0.0342144482,1.009674735,0.0349100179,1.5387838965,0.0241205644,sub-NDARVB811FVD_ses-HBNsiteSI_acq-64dir,ses-HBNsiteSI,,,acq-64dir,,,,sub-NDARVB811FVD
NDARVB819ENX,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.639805,79.0,129.0,1720.18,23253.8,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.754559,0.0,129.0,4413.81,31944.1,0.5169499867,4.3981032865,0.0567783415,1.504209173,0.0465980344,0.7274006344,0.0398789347,sub-NDARVB819ENX_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARVB819ENX
NDARVB842ZM8,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.536339,229.0,129.0,2242.62,35406.7,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.649199,16.0,129.0,1996.32,18288.5,1.2941230355,8.9815226923,0.0601918884,5.976240191,0.0295177204,3.294591232,0.0382833174,sub-NDARVB842ZM8_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARVB842ZM8
NDARVB877VWL,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.746058,2.0,129.0,926.897,13061.0,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.910686,0.0,129.0,2073.5,15268.1,0.5393515292,2.6387052929,0.0217318926,3.715046144,0.011091513,1.188438955,0.0238904916,sub-NDARVB877VWL_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVB877VWL
NDARVB897AH1,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.840012,2.0,129.0,1191.92,15830.9,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.911067,0.0,129.0,3176.76,23108.6,0.394044015,0.9777746841,0.0051328195,0.6036156158,0.0039292792,0.8036568536,0.0264769582,sub-NDARVB897AH1_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARVB897AH1
NDARVB902GA5,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.732823,49.0,129.0,559.998,8762.24,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.903446,0.0,129.0,2284.34,18831.2,0.3624488566,2.5923625965,0.0264240019,0.7675867683,0.0231968253,0.5732046964,0.0318158437,sub-NDARVB902GA5_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVB902GA5
NDARVC140PKY,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.775562,0.0,129.0,580.186,8833.14,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.940192,0.0,129.0,2398.48,21516.5,0.1439150293,0.3922880395,0.0017727022,0.410730832,0.0014520606,0.1903666069,0.0259087478,sub-NDARVC140PKY_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVC140PKY
NDARVC195NLH,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.689186,7.0,129.0,987.72,15265.6,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.936001,0.0,129.0,2547.2,21207.2,0.5443463262,4.2171237214,0.0299085323,1.99126342,0.0330040934,1.4136321866,0.0236232359,sub-NDARVC195NLH_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVC195NLH
NDARVC246ZY8,96.0,96.0,72.0,2.0,2.0,2.0,2000.0,0.800717,0.0,129.0,1099.12,12116.0,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.919153,0.0,129.0,2139.63,13335.9,0.5850246127,1.5468766558,0.0098253749,0.8562727039,0.0059025832,1.2507026691,0.0315014998,sub-NDARVC246ZY8_ses-HBNsiteSI_acq-64dir,ses-HBNsiteSI,,,acq-64dir,,,,sub-NDARVC246ZY8
NDARVC305AC6,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.610941,65.0,129.0,2016.59,33061.0,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.80465,0.0,129.0,4217.95,33015.3,0.767145546,5.2874141586,0.026338933,5.83973119,0.0181882095,3.464082943,0.0290273583,sub-NDARVC305AC6_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARVC305AC6
